time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
30.0,-10.0,0.0087886868665615,0.0087886868665615,0.0083551071584224,0.0108472993597388,0.0071636540815234,0.001534775587594,1.0,0,395,395,5.981414211254481,5.625,70.22222222222223,4.265804879584451,True
30.0,-9.0,0.0076601980254054,0.0076601980254054,0.0067255366593599,0.0097170425578951,0.0065380148589611,0.0014564221410774,1.0,0,436,436,6.07993319509559,5.625,77.5111111111111,4.363240157588826,True
30.0,-8.0,0.0040093911035607,0.0040093911035607,0.0033360093366354,0.0067287134006619,0.0019634505733847,0.0020028337768069,1.0,0,514,514,6.244166900663736,5.625,91.37777777777778,4.525886449482318,True
30.0,-7.0,0.0139806422715385,0.0139806422715385,0.014107440598309,0.0162185505032539,0.0116159357130527,0.0018811475378074,1.0,0,448,448,6.1070228877422545,5.625,79.64444444444445,4.3900499174427505,True
30.0,-6.0,0.0147644498695929,0.0147644498695929,0.0114005245268344,0.018315203487873,0.0145776215940713,0.0028259953865211,1.0,0,469,469,6.152732694704104,5.625,83.37777777777778,4.435304070461482,True
30.0,-5.0,0.0153282390286525,0.0153282390286525,0.0121175460517406,0.0166386198252439,0.0172285512089729,0.0022830413638201,1.0,0,447,447,6.104793232414985,5.625,79.46666666666667,4.387843019995321,True
30.0,-4.0,0.0105281436505417,0.0105281436505417,0.0078333709388971,0.007234797347337,0.0165162626653909,0.0042412851502131,1.0,0,418,418,6.037870919922137,5.625,74.31111111111112,4.321627681836731,True
30.0,-3.0,0.0073303903142611,0.0073303903142611,0.0066833393648266,0.0080554746091365,0.00725235696882,0.0005628828678744,1.0,0,462,462,6.137727054086234,5.625,82.13333333333334,4.420445744577826,True
30.0,-2.0,0.0087719225945572,0.0087719225945572,0.0099692977964878,0.0087744453921914,0.0075720245949923,0.0009786843120683,1.0,0,450,450,6.111467339502679,5.625,80.0,4.394449154672439,True
30.0,-1.0,0.0103982475896676,0.0103982475896676,0.0148513512685894,0.0065626092255115,0.0097807822749018,0.0034119162480318,1.0,0,477,477,6.169610732491456,5.625,84.8,4.4520190064939165,True
30.0,0.0,0.0009027698154871,0.0009027698154871,0.0017470434540882,0.000195377098862,0.0007658888935111,0.000640816879504,1.0,0,526,526,6.267200548541362,5.625,93.5111111111111,4.5487174054833135,True
30.0,1.0,0.0015061926145184,0.0015061926145184,0.002064264845103,0.002250408520922,0.0002039044775301,0.0009239870709113,1.0,0,376,376,5.932245187448011,5.625,66.84444444444445,4.217217502964558,True
30.0,2.0,-0.0001132464240072,-0.0001132464240072,-0.0002315419405931,0.0005292370333336,-0.0006374343647621,0.000483581023695,0.3333333333333333,1,375,375,5.929589143389895,5.625,66.66666666666667,4.214593690373678,True
30.0,3.0,-0.0025094936136156,-0.0025094936136156,-0.0038038792554289,-0.002788812154904,-0.0009357894305139,0.0011874339129893,0.0,0,334,334,5.814130531825066,5.625,59.37777777777778,4.100621119656028,True
30.0,4.0,0.0017035175502921,0.0017035175502921,0.0016587685095146,0.0006969373207539,0.0027548468206077,0.0008407337013525,1.0,0,288,288,5.666426688112432,5.625,51.2,3.955082494888593,True
30.0,5.0,0.0008109186116295,0.0008109186116295,0.0013909606495872,-0.0008205653284676,0.001862360513769,0.0011695752343148,0.6666666666666666,1,244,244,5.501258210544727,5.625,43.37777777777778,3.7927388436454956,True
30.0,6.0,-0.0003966115376291,-0.0003966115376291,-0.0012927752686664,-0.0007349577499553,0.0008378984057344,0.0009021460326144,0.3333333333333333,1,199,199,5.298317366548036,5.625,35.37777777777778,3.5939580876008153,True
30.0,7.0,-0.0008103266785231,-0.0008103266785231,-0.0013766655465587,-0.0016899238107725,0.0006356093217618,0.0010303982636873,0.3333333333333333,1,159,159,5.075173815233827,5.625,28.266666666666666,3.3764492119729614,True
30.0,8.0,-0.000758153037168,-0.000758153037168,-0.0011134035885334,-0.0016899238107725,0.0005288682878017,0.0009400041878835,0.3333333333333333,1,139,139,4.941642422609304,5.625,24.711111111111112,3.2469232374233568,True
30.0,9.0,-0.000758153037168,-0.000758153037168,-0.0011134035885334,-0.0016899238107725,0.0005288682878017,0.0009400041878835,0.3333333333333333,1,177,177,5.181783550292085,5.625,31.466666666666665,3.4802139219803796,True
30.0,10.0,-0.000866674274827,-0.000866674274827,-0.0014389673015102,-0.0016899238107725,0.0005288682878017,0.0009921018346475,0.3333333333333333,1,190,190,5.25227342804663,5.625,33.77777777777778,3.548978613203934,True
41.25,-10.0,0.0059532669062415,0.0059532669062415,0.0055166194215416,0.0081911096349358,0.0041520716622471,0.0016775880912044,1.0,0,653,653,6.483107351457199,11.25,58.044444444444444,4.078290455989494,True
41.25,-9.0,0.0044285790839542,0.0044285790839542,0.003754393896088,0.007060850970447,0.0024704923853278,0.001933691156941,1.0,0,691,691,6.539585955617669,11.25,61.422222222222224,4.133921337333924,True
41.25,-8.0,0.0013461233659957,0.0013461233659957,0.0016192217590287,0.0038281264714896,-0.001408978132531,0.0021467422151672,0.6666666666666666,1,713,713,6.570882962339584,11.25,63.37777777777778,4.164768507999031,True
41.25,-7.0,0.007701223095258,0.007701223095258,0.0076913060620427,0.0102219777181744,0.005190385505557,0.0020541508885147,1.0,0,696,696,6.546785410760524,11.25,61.86666666666667,4.141016081531247,True
41.25,-6.0,0.0070179801744719,0.0070179801744719,0.007115782238543,0.0107527589425444,0.0031853993423283,0.0030901355701164,1.0,0,707,707,6.56244409369372,11.25,62.84444444444444,4.15644956920897,True
41.25,-5.0,0.0067299008369445,0.0067299008369445,0.0069530075415968,0.007409272249788,0.0058274227194488,0.000664777875386,1.0,0,685,685,6.530877627725885,11.25,60.888888888888886,4.125340662591064,True
41.25,-4.0,0.0059489292713503,0.0059489292713503,0.004958985839039,0.0075205899775028,0.005367211997509,0.0011237586278682,1.0,0,753,753,6.625392368007956,11.25,66.93333333333334,4.2185268321205145,True
41.25,-3.0,0.0048058038034165,0.0048058038034165,0.0035244273021817,0.0092276884242892,0.0016652956837788,0.0032175446429297,1.0,0,687,687,6.5337888379333435,11.25,61.06666666666667,4.128209076174857,True
41.25,-2.0,0.0050369884896402,0.0050369884896402,0.0042179813608527,0.0092276884242892,0.0016652956837788,0.0031411808287314,1.0,0,776,776,6.655440350367647,11.25,68.97777777777777,4.2481777313307045,True
41.25,-1.0,0.0063021647899101,0.0063021647899101,0.0062058381736278,0.0098518738523125,0.0028487823437899,0.0028598113902771,1.0,0,772,772,6.650279048587422,11.25,68.62222222222222,4.243083801181872,True
41.25,0.0,0.0021352355446045,0.0021352355446045,0.003330367617309,-0.0011750705307349,0.0042504095472395,0.0023706840113533,0.6666666666666666,1,805,805,6.692083742506628,11.25,71.55555555555556,4.284352551940212,True
41.25,1.0,-0.0010091837417955,-0.0010091837417955,-0.0008901537512429,-0.0006985200452618,-0.0014388774288818,0.0003137497600088,0.0,0,680,680,6.523562306149512,11.25,60.44444444444444,4.118133424186116,True
41.25,2.0,-0.0023444244870916,-0.0023444244870916,-0.0029171768110245,-0.002419643336907,-0.0016964533133432,0.0005011885014466,0.0,0,650,650,6.478509642208569,11.25,57.77777777777778,4.07376385452208,True
41.25,3.0,-0.003674020525068,-0.003674020525068,-0.0043757469393312,-0.0047125741839408,-0.0019337404519319,0.0012382229734297,0.0,0,678,678,6.520621127558696,11.25,60.266666666666666,4.115235921253477,True
41.25,4.0,0.0004796207843658,0.0004796207843658,0.0009087826474569,-0.0012268157443031,0.0017568954499438,0.0012553267970844,0.6666666666666666,1,548,548,6.3080984415095305,11.25,48.71111111111111,3.90622847171981,True
41.25,5.0,-0.0004801492129142,-0.0004801492129142,0.0002928226022049,-0.0024999321904033,0.0007666619494557,0.0014412433032783,0.6666666666666666,1,509,509,6.234410725718371,11.25,45.24444444444445,3.833941336623315,True
41.25,6.0,-0.0011279341803553,-0.0011279341803553,-0.0007116781198419,-0.0024143240880221,-0.0002578003332018,0.0009282961119569,0.0,0,450,450,6.111467339502679,11.25,40.0,3.713572066704308,True
41.25,7.0,-0.0015416501555591,-0.0015416501555591,-0.0007955683977343,-0.0033692927099764,-0.0004600893589667,0.0012995754502658,0.0,0,348,348,5.855071922202427,11.25,30.933333333333334,3.4636503963087053,True
41.25,8.0,-0.0016322697047144,-0.0016322697047144,-0.0009606860112398,-0.0033692927099764,-0.0005668303929269,0.0012387405573474,0.0,0,337,337,5.823045895483019,11.25,29.955555555555556,3.432552484009486,True
41.25,9.0,-0.0016322697047144,-0.0016322697047144,-0.0009606860112398,-0.0033692927099764,-0.0005668303929269,0.0012387405573474,0.0,0,318,318,5.765191102784844,11.25,28.266666666666666,3.3764492119729614,True
41.25,10.0,-0.001740790825958,-0.001740790825958,-0.0012862493749707,-0.0033692927099764,-0.0005668303929269,0.0011883895847237,0.0,0,309,309,5.736572297479192,11.25,27.466666666666665,3.3487338121264143,True
52.5,-10.0,0.0043446579948067,0.0043446579948067,0.0067497426643967,0.0035916620399802,0.0026925692800432,0.0017398115125237,1.0,0,594,594,6.38856140554563,11.25,52.8,3.9852734671677386,True
52.5,-9.0,0.0029748222247386,0.0029748222247386,0.0049875169061124,0.0024614052381366,0.001475544529967,0.0014790053514216,1.0,0,637,637,6.45833828334479,11.25,56.62222222222222,4.053908295768345,True
