bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,32580,-0.02087916536736911,-0.040714042633771895,-0.00982035994529724,-0.0146456845,0.36147866,0.002002659520312272,-0.01857089717028149,-0.010720471850657384
1,32579,-0.006648338730102669,-0.008449660986661911,-0.005077850632369518,-0.0061053676,0.23189296,0.0012847501767703,-0.00862347790640941,-0.0035872572134698346
2,32579,-0.0034699487323827894,-0.004469230771064758,-0.002522791177034378,-0.0012591005,0.21648999,0.001199413510908161,-0.003609950988393495,0.0010917499743664954
3,32579,-0.0013476926212177749,-0.0021068833768367766,-0.0006062015891075134,0.00036339182,0.21089706,0.0011684271694613576,-0.0019267254280776218,0.0026535090762108996
4,32579,0.00043048158946175683,-0.0002548066899180412,0.0011044811457395554,0.0018024124,0.20348658,0.0011273710822897152,-0.00040723487749353164,0.004012059765082152
5,32579,0.002162341609360052,0.0014562261290848256,0.0028833191841840743,0.001333698,0.20888998,0.0011573073876970821,-0.0009346244316299434,0.0036020205281426187
6,32579,0.004039815230306611,0.003257578983902931,0.004847876727581024,0.0066590924,0.22600316,0.0012521190623056733,0.004204939019477445,0.009113245743715685
7,32579,0.006327674560174641,0.005298670381307602,0.007435845583677292,0.0052320515,0.23465137,0.0013000325394878286,0.002683987703165351,0.0077801152579576385
8,32579,0.00970236005537058,0.008071865513920784,0.011592567712068558,0.0046905107,0.27080688,0.0015003439000088532,0.0017498366424696073,0.007631184730504312
9,32579,0.02144377531488972,0.01298382580280304,0.03513012230396271,0.014595724,0.42442188,0.0023514128463061937,0.009986954532194049,0.01920449288971433
