bin,count,pred_mean,obs_rate,abs_gap,bin_left,bin_right
0,348,0.09145986348733134,0.05459770114942529,0.036862162337906054,0.0,0.1
1,33020,0.16954099016341925,0.14921259842519685,0.0203283917382224,0.1,0.2
2,129668,0.2514580555270984,0.24742419101088936,0.004033864516209018,0.2,0.30000000000000004
3,93151,0.35009124891897275,0.3493360243046237,0.0007552246143490704,0.30000000000000004,0.4
4,41961,0.43867675740067524,0.4528967374466767,0.014219980046001446,0.4,0.5
5,14003,0.5444326828158277,0.5650217810469185,0.020589098231090786,0.5,0.6000000000000001
6,7442,0.644419934289233,0.6615157215802203,0.017095787290987263,0.6000000000000001,0.7000000000000001
7,4241,0.7456206054907872,0.7762320207498231,0.03061141525903588,0.7000000000000001,0.8
8,1938,0.8376618581290585,0.9153766769865841,0.07771481885752562,0.8,0.9
9,19,0.906005997406809,0.9473684210526315,0.041362423645822544,0.9,1.0
