time_left_game,score_diff,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p
0.0,-10.0,90,4.51085950651685,0.5,180.0,5.198497031265826
0.0,-9.0,125,4.836281906951478,0.5,250.0,5.5254529391317835
0.0,-8.0,163,5.099866427824199,0.5,326.0,5.7899601708972535
0.0,-7.0,277,5.627621113690637,0.5,554.0,6.318968113746434
0.0,-6.0,363,5.8971538676367405,0.5,726.0,6.588926477533519
0.0,-5.0,499,6.214608098422191,0.5,998.0,6.906754778648554
0.0,-4.0,564,6.336825731146441,0.5,1128.0,7.029087564149662
0.0,-3.0,734,6.5998704992128365,0.5,1468.0,7.292337176173877
0.0,-2.0,782,6.663132695990803,0.5,1564.0,7.355641102974253
0.0,-1.0,553,6.317164686747284,0.5,1106.0,7.009408932708637
0.0,0.0,1476,7.29776828253138,0.5,2952.0,7.990576881743923
0.0,1.0,5,1.791759469228055,0.5,10.0,2.3978952727983707
0.0,2.0,16,2.833213344056216,0.5,32.0,3.4965075614664802
0.0,3.0,13,2.639057329615259,0.5,26.0,3.295836866004329
0.0,4.0,12,2.5649493574615367,0.5,24.0,3.2188758248682006
0.0,5.0,15,2.772588722239781,0.5,30.0,3.4339872044851463
0.0,6.0,4,1.6094379124341003,0.5,8.0,2.1972245773362196
0.0,7.0,10,2.3978952727983707,0.5,20.0,3.044522437723423
0.0,8.0,5,1.791759469228055,0.5,10.0,2.3978952727983707
0.0,9.0,10,2.3978952727983707,0.5,20.0,3.044522437723423
0.0,10.0,18,2.9444389791664403,0.5,36.0,3.6109179126442243
1.0,-10.0,44,3.8066624897703196,1.0,44.0,3.8066624897703196
1.0,-9.0,78,4.3694478524670215,1.0,78.0,4.3694478524670215
1.0,-8.0,114,4.74493212836325,1.0,114.0,4.74493212836325
1.0,-7.0,154,5.043425116919247,1.0,154.0,5.043425116919247
1.0,-6.0,224,5.41610040220442,1.0,224.0,5.41610040220442
1.0,-5.0,269,5.598421958998375,1.0,269.0,5.598421958998375
1.0,-4.0,314,5.752572638825633,1.0,314.0,5.752572638825633
1.0,-3.0,328,5.796057750765372,1.0,328.0,5.796057750765372
1.0,-2.0,301,5.71042701737487,1.0,301.0,5.71042701737487
