bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,32581,-0.018037619330612677,-0.038359902799129486,-0.006968935951590538,-0.011143379,0.3928046,0.002176177682709545,-0.015408687171513266,-0.006878070655291849
1,32578,-0.004475181298830993,-0.00585828498005867,-0.0033607630059123038,-0.0016490184,0.2441998,0.0013529541839148009,-0.004300808577538668,0.001002771823407351
2,32579,-0.002307809089642386,-0.0029634028673172,-0.0016867153346538544,0.0012505885,0.21798633,0.0012077036688614695,-0.0011165107394563224,0.003617687642480638
3,32579,-0.0008823301152235275,-0.0014052733778953553,-0.0003802012652158737,0.0005373751,0.20319666,0.0011257648631543054,-0.0016691240271688363,0.0027438742363960406
4,32579,0.00032027376247203726,-0.00014636777341365815,0.0007913649082183838,0.00024219378,0.20103468,0.0011137869066412337,-0.0019408285545475606,0.002425216119486076
5,32579,0.0015541749382997035,0.0010280795395374298,0.0021072808653116227,0.0024609615,0.2036253,0.0011281396832431827,0.0002498076837732068,0.004672115242086483
6,32579,0.0032183082232837158,0.002436988055706024,0.004045747965574264,0.0036221538,0.22706221,0.0012579865174039383,0.0011565001997921277,0.006087807348015566
7,32579,0.005500659002097781,0.004494792781770229,0.006551381945610046,0.0036324882,0.25772905,0.001427889184262414,0.0008338253936987358,0.006431150996007399
8,32579,0.008509418643268226,0.007125163078308105,0.010072815418243408,0.006421598,0.27764615,0.001538235349119349,0.0034066568558763846,0.009436539424424233
9,32579,0.018348137774497317,0.011133217439055442,0.03118512704968453,0.008049622,0.3663894,0.0020298970781350207,0.004071023904933057,0.012028220451222338
