bin,count,pred_mean,obs_rate,abs_gap,bin_left,bin_right
0,995,0.08387247440802992,0.0020100502512562816,0.08186242415677364,0.0,0.1
1,36947,0.1676665923727844,0.1390640647413863,0.02860252763139809,0.1,0.2
2,125137,0.2523171707293675,0.2439406410574011,0.008376529671966393,0.2,0.30000000000000004
3,90675,0.3492942514244045,0.3527543424317618,0.00346009100735728,0.30000000000000004,0.4
4,43388,0.4390367179472974,0.46127961648382043,0.02224289853652306,0.4,0.5
5,14700,0.5438707378689124,0.5685034013605442,0.024632663491631845,0.5,0.6000000000000001
6,7671,0.6447906493285911,0.6841350540998566,0.03934440477126555,0.6000000000000001,0.7000000000000001
7,3897,0.7450228263116171,0.7821401077752117,0.03711728146359461,0.7000000000000001,0.8
8,1774,0.8429981187876343,0.8940248027057497,0.05102668391811538,0.8,0.9
9,607,0.9134116290625081,0.9686985172981878,0.05528688823567973,0.9,1.0
