bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,32580,-0.015061423153873188,-0.035549032315611837,-0.006469375686720014,-0.0135456845,0.3167514,0.0017548620829714904,-0.016985214199054022,-0.01010615483380578
1,32579,-0.004547748698741269,-0.005702346935868264,-0.0035233446396887302,-0.0033622284,0.21472235,0.001189620329436181,-0.005693884241112248,-0.0010305725497224178
2,32579,-0.002455465791582687,-0.003125981613993645,-0.0018299054354429245,-0.0004545194,0.1903221,0.0010544363005342092,-0.002521214558733377,0.0016121757393607232
3,32579,-0.0009838061080442257,-0.0015402315184473991,-0.00043281987309455865,0.0020832147,0.1916961,0.00106204866967678,1.5993057928811658e-06,0.004164830090925859
4,32579,0.0004473176491147813,-0.00014131888747215268,0.0010406024754047393,0.0013223157,0.19665414,0.0010895175266096855,-0.0008131386955749524,0.003457770008735014
5,32579,0.0019694546940439315,0.0013396754860877992,0.0026087339967489245,0.0009270077,0.21523538,0.0011924626669471297,-0.0014102191282967503,0.0032642345261359985
6,32579,0.00368687390626838,0.0029485590755939485,0.004447738453745842,0.0051525556,0.23295179,0.0012906163935211639,0.002622947516935986,0.007682163779538948
7,32579,0.005924005566684613,0.0048978451639413835,0.007021971791982651,0.0023659733,0.25709614,0.0014243826797621368,-0.00042581673992605606,0.00515776336474152
8,32579,0.009279323535627132,0.007655207440257073,0.011165940761566162,0.0067974604,0.28694484,0.0015897525823509958,0.0036815453120830973,0.009913375434899
9,32579,0.021861209098020182,0.012685564160346986,0.03477201759815216,0.014515507,0.47411394,0.0026267204242226903,0.009367135003480936,0.01966387906643388
