window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-10,-0.0016633278002155482,-0.0016633278002155482,0.009608511353249336,-0.0132190285252114,-0.0013794662286845815,0.007369821,-0.02004615,-0.0013484727,0.01692011414255329,0.7666666666666666,20,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-9,-0.006531182149773803,-0.006531182149773803,-0.0019847732660813323,-0.014681960033298795,-0.002926813149941277,0.001732727,-0.022120452,-0.0030087892,0.017159985996943756,0.8148148148148148,36,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-8,-0.01796899613110422,-0.01796899613110422,-0.029982931239298433,-0.016461409464842525,-0.007462647689171698,-0.011881038,-0.024643544,-0.007875779,0.01448374313182925,0.8918918918918919,37,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-7,-0.010887633178941966,-0.010887633178941966,-0.021806870064756973,-0.007829798141101095,-0.0030262313309678338,-0.007905527,-0.012404726,-0.0031154656,0.01616503033146314,0.8648648648648649,74,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-6,-0.012707172955101783,-0.012707172955101783,-0.021463173160933404,-0.012054162347426187,-0.004604183356945762,-0.007738408,-0.01839448,-0.0048086215,0.01721098010826148,0.892966360856269,109,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-5,-0.012395902655115759,-0.012395902655115759,-0.023888403417726002,-0.008567650379550361,-0.004731654168070912,-0.008917647,-0.013450932,-0.004945399,0.01896036377827842,0.8953168044077134,121,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-4,-0.025686701796914287,-0.025686701796914287,-0.05678515319624768,-0.011268654250489651,-0.00900629794400552,-0.02491329,-0.017280702,-0.009532128,0.0217636662527461,0.9273504273504273,156,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-3,-0.025717664537742966,-0.025717664537742966,-0.06194054675157554,-0.00916935677061994,-0.006043090091033419,-0.027420038,-0.014304095,-0.0063525806,0.01835251776063002,0.915807560137457,194,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-2,-0.04282665556942849,-0.04282665556942849,-0.08710542554952072,-0.01682697927949941,-0.02454756187926533,-0.039656155,-0.025161888,-0.026208036,0.02104635633318525,0.9547619047619047,140,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,-1,-0.06719591133138962,-0.06719591133138962,-0.1056606484844364,-0.024329169721738823,-0.07159791578799361,-0.048678406,-0.03579929,-0.07669347,0.026825766056333016,0.9444444444444444,126,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,0,-0.0733810825391577,-0.0733810825391577,-0.1492656476715038,-0.029453983115789555,-0.041423616830179706,-0.069880806,-0.043065798,-0.044316188,0.016156720398827304,1.0,274,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,1,-0.061077407837431964,-0.061077407837431964,-0.11353403491789986,-0.03156270621958357,-0.03813548237481247,-0.052506745,-0.04605577,-0.04078799,,1.0,1,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,2,-0.037868085766759936,-0.037868085766759936,-0.09034723284543156,-0.009983702559081467,-0.013273321895766788,-0.041232444,-0.015458761,-0.014110681,0.0060026176358994356,1.0,2,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,3,-0.02899627102952201,-0.02899627102952201,-0.06329976192820207,-0.00930688165792285,-0.014382169502441124,-0.02808094,-0.014499093,-0.015300483,0.00958388199495051,1.0,3,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,4,-0.03392003928102242,-0.03392003928102242,-0.09021049116056758,-0.0019546443215084025,-0.00959498236099127,-0.041165955,-0.004074307,-0.0101637915,,1.0,1,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,5,-0.014128136995401793,-0.014128136995401793,-0.030180443310045036,0.00020110649397612023,-0.012405074170136454,-0.011977074,-0.001017654,-0.013179044,0.015207590766694382,0.6666666666666666,3,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,6,-0.01707186683227644,-0.01707186683227644,-0.0347938423261773,-0.0050273394804389625,-0.011394418690213053,-0.014220284,-0.008431101,-0.012094602,0.0016264613139258398,1.0,2,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,7,-0.023654224853437954,-0.023654224853437954,-0.05447664159705251,-0.005575426433527242,-0.010910606529734114,-0.023790807,-0.009208238,-0.011575468,0.011339972299569215,1.0,2,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,8,-0.022038231206143476,-0.022038231206143476,-0.048502539562833874,-0.005579684001151555,-0.012032470054445002,-0.02088597,-0.009214275,-0.012779237,0.007974773992447181,0.9166666666666666,4,False
