time_window,score_region,n_folds,row_n_total,majority_direction,sign_consistency,tau_fold_mean,tau_fold_sd,tau_fold_min,tau_fold_max,mean_model_sign_agree_ratio
0_30,all_score,5,27873,two_pref,1.0,-0.0074276552451994545,0.0022402748020923773,-0.009896386925313668,-0.004912852584424511,0.8693731125207685
15_30,all_score,5,11406,three_pref,0.6,0.0015547253197768375,0.005113800828909441,-0.00511911194826409,0.008652336115812847,0.8448760546202043
30_300,all_score,5,164302,three_pref,0.8,0.0010535414641356146,0.0015439385856603433,-0.0003940474080216384,0.0032644089120241167,0.8560414083468789
30_60,all_score,5,20509,three_pref,1.0,0.0038904983287490805,0.004251836225395585,0.00039334241984830047,0.010186159431689983,0.8774956508981152
0_30,leading,5,4932,two_pref,1.0,-0.005356586604276843,0.002228783248039326,-0.009022072431801247,-0.0034595336169674215,0.836873207787745
15_30,leading,5,3270,two_pref,1.0,-0.0051932912238504625,0.0027577797932992498,-0.009834845341233404,-0.0031375902769777433,0.8343140200733487
30_300,leading,5,71525,two_pref,1.0,-0.002931599835575266,0.0006142162917870958,-0.003733087483169622,-0.0024103972963450374,0.8662114685001224
30_60,leading,5,8109,two_pref,1.0,-0.00482583119039716,0.0018760600053670698,-0.007963004980696648,-0.003485046566334385,0.8854154370740946
0_30,trailing,5,20657,two_pref,1.0,-0.005476094739505466,0.0033172312327702327,-0.009215445026389274,-0.0018387440238715963,0.8705294091452334
15_30,trailing,5,7606,three_pref,0.8,0.004871396799663278,0.006491089004682356,-0.0025926659712959964,0.014812910685552459,0.8484092365728045
30_300,trailing,5,80564,three_pref,1.0,0.0047794730932466285,0.002854145748645926,0.0022863707821347188,0.00903900348077893,0.8551506017615764
30_60,trailing,5,11134,three_pref,1.0,0.011093626814216107,0.007009642267566201,0.005164063030571167,0.02187336878954305,0.8768395069908843
