time_window,time_lo,time_hi,score_region,score_lo,score_hi,outer_fold,test_years,n,tau_mean,tau_median,tau_sd,share_three_pref,share_two_pref,share_near_zero_abs_0_001,mean_sign_agree_ratio
0_30,0.0,30.0,all_score,-10,10,train2000_2009_test2010_2012,2010-2012,6006.0,-0.0059614832170784855,-0.007291402511208285,0.0335627601922938,0.3797868797868798,0.6202131202131203,0.026973026973026972,0.8611388611388612
0_30,0.0,30.0,all_score,-10,10,train2000_2012_test2013_2015,2013-2015,6323.0,-0.006706726251186315,-0.005619423797743074,0.026370479092148225,0.3860509251937371,0.6139490748062628,0.034477305076704094,0.8782750803943276
0_30,0.0,30.0,all_score,-10,10,train2000_2015_test2016_2018,2016-2018,5712.0,-0.009896386925313668,-0.00982111402565931,0.020671572207962736,0.29516806722689076,0.7048319327731093,0.03361344537815126,0.8658963585434174
0_30,0.0,30.0,all_score,-10,10,train2000_2018_test2019_2021,2019-2021,4772.0,-0.009660827247994296,-0.007875631728147474,0.019466127179573703,0.29379715004191115,0.7062028499580888,0.03227158424140821,0.9025565800502934
0_30,0.0,30.0,all_score,-10,10,train2000_2021_test2022_2024,2022-2024,5060.0,-0.004912852584424511,-0.003974644271390019,0.014705034912378515,0.3290513833992095,0.6709486166007905,0.07351778656126483,0.8389986824769433
0_30,0.0,30.0,leading,1,10,train2000_2009_test2010_2012,2010-2012,1002.0,-0.0046215428940503565,-0.005256151937748279,0.013217622468005473,0.31636726546906185,0.6836327345309381,0.07285429141716566,0.7717897538256818
0_30,0.0,30.0,leading,1,10,train2000_2012_test2013_2015,2013-2015,1081.0,-0.0034595336169674215,-0.004653535486376843,0.010837156921743672,0.2923219241443108,0.7076780758556892,0.06753006475485661,0.845513413506013
0_30,0.0,30.0,leading,1,10,train2000_2015_test2016_2018,2016-2018,1036.0,-0.009022072431801247,-0.009327438600648955,0.009957213829271694,0.16023166023166024,0.8397683397683398,0.03667953667953668,0.8262548262548263
0_30,0.0,30.0,leading,1,10,train2000_2018_test2019_2021,2019-2021,871.0,-0.005778259471472229,-0.006347208617917598,0.005549989995782859,0.1079219288174512,0.8920780711825488,0.03444316877152698,0.8897818599311137
0_30,0.0,30.0,leading,1,10,train2000_2021_test2022_2024,2022-2024,942.0,-0.003901524607092962,-0.004133781867235236,0.0035739693020620483,0.14012738853503184,0.8598726114649682,0.11358811040339703,0.8510261854210899
0_30,0.0,30.0,tied,0,0,train2000_2009_test2010_2012,2010-2012,475.0,-0.04809728534277993,-0.05562909407852212,0.033590735419127514,0.09894736842105263,0.9010526315789473,0.00631578947368421,0.9487719298245614
0_30,0.0,30.0,tied,0,0,train2000_2012_test2013_2015,2013-2015,547.0,-0.0382127084651208,-0.04783668633636967,0.033800464664952685,0.19744058500914077,0.8025594149908593,0.038391224862888484,0.9335770871419865
0_30,0.0,30.0,tied,0,0,train2000_2015_test2016_2018,2016-2018,468.0,-0.021792023787241935,-0.01914553080698612,0.021641195758089676,0.1581196581196581,0.8418803418803419,0.038461538461538464,0.8703703703703702
0_30,0.0,30.0,tied,0,0,train2000_2018_test2019_2021,2019-2021,366.0,-0.023202200708990105,-0.02675034456277946,0.02121671155192308,0.20491803278688525,0.7950819672131147,0.0273224043715847,0.9426229508196722
0_30,0.0,30.0,tied,0,0,train2000_2021_test2022_2024,2022-2024,428.0,-0.017130395870687286,-0.019619366694686675,0.013270229417377748,0.10046728971962617,0.8995327102803738,0.035046728971962614,0.9345794392523364
0_30,0.0,30.0,trailing,-10,-1,train2000_2009_test2010_2012,2010-2012,4529.0,-0.0018387440238715963,-0.006109503860509351,0.03366775309671364,0.4232722455288143,0.5767277544711857,0.018988739236034443,0.8717156105100463
0_30,0.0,30.0,trailing,-10,-1,train2000_2012_test2013_2015,2013-2015,4695.0,-0.0037837109086023856,-0.00470176200665642,0.025495616427721305,0.4296059637912673,0.5703940362087327,0.026411075612353566,0.8793752218672345
0_30,0.0,30.0,trailing,-10,-1,train2000_2015_test2016_2018,2016-2018,4208.0,-0.008788647325479172,-0.009059622267041118,0.022057672412056365,0.3436311787072243,0.6563688212927756,0.03231939163498099,0.8751584283903675
0_30,0.0,30.0,trailing,-10,-1,train2000_2018_test2019_2021,2019-2021,3535.0,-0.009215445026389274,-0.008729731872339693,0.020846741739657892,0.3487977369165488,0.6512022630834512,0.03224893917963225,0.9015558698727015
0_30,0.0,30.0,trailing,-10,-1,train2000_2021_test2022_2024,2022-2024,3690.0,-0.0037539264131849054,-0.0027538054459688224,0.015936714120293387,0.4037940379403794,0.5962059620596206,0.06775067750677506,0.8248419150858175
