time_window,time_lo,time_hi,score_region,score_lo,score_hi,n_folds,folds_three_pref,folds_two_pref,folds_zero,majority_direction,sign_consistency,tau_fold_mean,tau_fold_median,tau_fold_sd,tau_fold_min,tau_fold_max,row_n_total,row_n_min_fold,row_n_max_fold,mean_model_sign_agree_ratio
0_30,0.0,30.0,all_score,-10,10,5,0,5,0,two_pref,1.0,-0.0074276552451994545,-0.006706726251186315,0.0022402748020923773,-0.009896386925313668,-0.004912852584424511,27873,4772,6323,0.8693731125207685
0_30,0.0,30.0,leading,1,10,5,0,5,0,two_pref,1.0,-0.005356586604276843,-0.0046215428940503565,0.002228783248039326,-0.009022072431801247,-0.0034595336169674215,4932,871,1081,0.836873207787745
0_30,0.0,30.0,tied,0,0,5,0,5,0,two_pref,1.0,-0.029686922834964012,-0.023202200708990105,0.012977652808867337,-0.04809728534277993,-0.017130395870687286,2284,366,547,0.9259843554817853
0_30,0.0,30.0,trailing,-10,-1,5,0,5,0,two_pref,1.0,-0.005476094739505466,-0.0037837109086023856,0.0033172312327702327,-0.009215445026389274,-0.0018387440238715963,20657,3535,4695,0.8705294091452334
15_30,15.0,30.0,all_score,-10,10,5,3,2,0,three_pref,0.6,0.0015547253197768375,0.00123017131033362,0.005113800828909441,-0.00511911194826409,0.008652336115812847,11406,1986,2528,0.8448760546202043
15_30,15.0,30.0,leading,1,10,5,0,5,0,two_pref,1.0,-0.0051932912238504625,-0.0037591334549913927,0.0027577797932992498,-0.009834845341233404,-0.0031375902769777433,3270,588,700,0.8343140200733487
15_30,15.0,30.0,tied,0,0,5,1,4,0,two_pref,0.8,-0.00526438540064704,-0.004031669583400476,0.005211769547336517,-0.01032433429779011,0.002078272761126929,530,88,124,0.8520109594617832
15_30,15.0,30.0,trailing,-10,-1,5,4,1,0,three_pref,0.8,0.004871396799663278,0.0038070358595533238,0.006491089004682356,-0.0025926659712959964,0.014812910685552459,7606,1310,1707,0.8484092365728045
30_300,30.0,300.0,all_score,-10,10,5,4,1,0,three_pref,0.8,0.0010535414641356146,0.000340214441533286,0.0015439385856603433,-0.0003940474080216384,0.0032644089120241167,164302,30289,35201,0.8560414083468789
30_300,30.0,300.0,leading,1,10,5,0,5,0,two_pref,1.0,-0.002931599835575266,-0.0025392468395588706,0.0006142162917870958,-0.003733087483169622,-0.0024103972963450374,71525,13105,15287,0.8662114685001224
30_300,30.0,300.0,tied,0,0,5,3,2,0,three_pref,0.6,-0.000107191031544249,2.2676799406993914e-05,0.0010519521682620019,-0.0016052349114083276,0.0013187073600485772,12213,2207,2674,0.8022665098321948
30_300,30.0,300.0,trailing,-10,-1,5,5,0,0,three_pref,1.0,0.0047794730932466285,0.004171061454359089,0.002854145748645926,0.0022863707821347188,0.00903900348077893,80564,14958,17240,0.8551506017615764
30_60,30.0,60.0,all_score,-10,10,5,5,0,0,three_pref,1.0,0.0038904983287490805,0.0019185849945295489,0.004251836225395585,0.00039334241984830047,0.010186159431689983,20509,3755,4384,0.8774956508981152
30_60,30.0,60.0,leading,1,10,5,0,5,0,two_pref,1.0,-0.00482583119039716,-0.003788416004649712,0.0018760600053670698,-0.007963004980696648,-0.003485046566334385,8109,1522,1708,0.8854154370740946
30_60,30.0,60.0,tied,0,0,5,1,4,0,two_pref,0.8,-0.003619753436524555,-0.004605130359119023,0.003554928463248444,-0.008336240289564789,9.728277355638535e-05,1266,213,279,0.8328734461413901
30_60,30.0,60.0,trailing,-10,-1,5,5,0,0,three_pref,1.0,0.011093626814216107,0.007796027970318362,0.007009642267566201,0.005164063030571167,0.02187336878954305,11134,2020,2397,0.8768395069908843
