n,mean_fitted_wp,empirical_win_rate,gap,brier,log_loss,ece,mce,calibration_intercept,calibration_slope,diagnostic,model,orientation,bin_order,time_bin,shot_type,publication_role
19620,0.5039606181747801,0.49408766564729867,0.009872952527481438,0.06067967019875226,0.2012956631714014,0.012996601175021437,0.09134635886595016,-0.1594828360565606,1.0285127848488849,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,1,45-60s,2PA,reviewer_response_holdout
9581,0.45324793389103285,0.4360713912952719,0.017176542595760957,0.05462077177811691,0.18678460405729663,0.018989061526279476,0.15971515272647666,-0.31331892885477514,0.9793630131902101,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,1,45-60s,3PA,reviewer_response_holdout
76741,0.50835356293664,0.4965924342919691,0.011761128644670937,0.06775206166499723,0.22095129441163394,0.012329894945569984,0.09450369734845387,-0.17263755152060636,1.0032523165270402,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,2,60-120s,2PA,reviewer_response_holdout
34514,0.47293515067689024,0.46334820652488845,0.009586944152001786,0.06317259512820603,0.20744425875453476,0.010726533954592072,0.08471758916979344,-0.15414351494979522,0.9832117430543685,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,2,60-120s,3PA,reviewer_response_holdout
70929,0.5088675378210072,0.49885096363969605,0.010016574181311189,0.07838675224236367,0.24826889779202954,0.01001880565251415,0.048709806391938226,-0.1289552484604875,0.9979209119615713,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,3,120-180s,2PA,reviewer_response_holdout
30662,0.48920713906520946,0.4827147609418825,0.006492378123326981,0.07660454232413734,0.2438539486165493,0.009750038371448933,0.06037865939556841,-0.09047211715079873,0.9527114836708633,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,3,120-180s,3PA,reviewer_response_holdout
72243,0.5116705676228779,0.5041457303821824,0.0075248372406955255,0.08909961035544703,0.27872776900382984,0.008627869265324693,0.045093847184382085,-0.08461416859234472,0.9921490791707619,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,4,180-240s,2PA,reviewer_response_holdout
30731,0.50028963163629,0.49347564348703266,0.006813988149257377,0.08588313297421035,0.26987951325471166,0.009089449188854829,0.03985547537840772,-0.08073894284062483,0.9785438913465132,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,4,180-240s,3PA,reviewer_response_holdout
73515,0.5106596250534945,0.5041964224988098,0.006463202554684688,0.09967015410397484,0.30743588140351763,0.007705690760137631,0.03829508745753102,-0.06501687715479222,0.9997386285444746,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,5,240-300s,2PA,reviewer_response_holdout
31122,0.5033620801563803,0.4999036051667631,0.0034584749896172107,0.09661545145167588,0.29962697010041567,0.007193799619959863,0.03711462466782822,-0.03603856134391767,0.9885596016494048,coarse_45_300_sanity_next_state_by_shot_type,final_surface,offense,5,240-300s,3PA,reviewer_response_holdout
