n,mean_fitted_wp,empirical_win_rate,gap,brier,log_loss,ece,mce,calibration_intercept,calibration_slope,diagnostic,model,time_bin,negative_control,shot_type,n_games
411,0.37975910428185383,0.15085158150851583,0.228907522773338,0.19623563923733306,0.5882893987580902,0.2331203951281505,0.854860736099265,-1.6921995394544327,0.07201496791447785,targeted_down3_made_time_band,baseline_m0,0-15s,False,2PA,388
464,0.4729823432164659,0.40301724137931033,0.06996510183715554,0.24485578936342045,0.6828772547160584,0.07617598273565997,0.6705165761224929,-0.3258375317002903,0.6301403666772849,targeted_down3_made_time_band,baseline_m0,0-15s,False,3PA,446
411,0.34970153453680164,0.15085158150851583,0.19884995302828581,0.18790357987957207,0.5767726889684316,0.21155939761845732,0.9000467274280727,-1.6872774174157927,0.06449657051829646,targeted_down3_made_time_band,final_surface,0-15s,False,2PA,388
464,0.46869300593304847,0.40301724137931033,0.06567576455373814,0.24443009153652256,0.6821125710070589,0.0688137452574238,0.728011523255066,-0.31860687594135306,0.5996894627785512,targeted_down3_made_time_band,final_surface,0-15s,False,3PA,446
341,0.3656631337983942,0.17008797653958943,0.19557515725880478,0.18468978986639634,0.560150839117711,0.19881907927652281,0.760517793939034,-1.4784078074050642,0.1943240971648931,targeted_down3_made_time_band,baseline_m0,15-30s,False,2PA,336
161,0.4688732779550713,0.36645962732919257,0.1024136506258787,0.24090759700810682,0.6748481631839438,0.10241365062587865,0.15268386260376737,-0.4141686094417662,1.096150343014059,targeted_down3_made_time_band,baseline_m0,15-30s,False,3PA,160
341,0.34460028059509157,0.17008797653958943,0.17451230405550214,0.17823936824554648,0.5475218635809973,0.18535319407140496,0.810849047844442,-1.489015667957143,0.14956163387657567,targeted_down3_made_time_band,final_surface,15-30s,False,2PA,336
161,0.46323449612955947,0.36645962732919257,0.0967748688003669,0.24055833740658147,0.6741530522573665,0.0982401297084812,0.2794006743588163,-0.4169528999343011,0.8977038992003707,targeted_down3_made_time_band,final_surface,15-30s,False,3PA,160
301,0.3373931411386141,0.22591362126245848,0.11147951987615565,0.1894105687530271,0.567758602704285,0.11323740038073468,0.46753074598998295,-1.0348801107911938,0.28967861324076355,targeted_down3_made_time_band,baseline_m0,30-45s,False,2PA,301
128,0.470626132663075,0.4375,0.033126132663075014,0.24866214261236383,0.6905446925488034,0.03312613266307495,0.6293970240033745,-0.23926484154668357,0.1022194679878968,targeted_down3_made_time_band,baseline_m0,30-45s,False,3PA,126
301,0.3248346181869593,0.22591362126245848,0.09892099692450082,0.1865931754510567,0.5614170886777309,0.10052678915150509,0.519040281826759,-0.9923424122706493,0.3252589010518616,targeted_down3_made_time_band,final_surface,30-45s,False,2PA,301
128,0.4652172740805769,0.4375,0.027717274080576892,0.24874867675449958,0.6907595345705191,0.04043994991869491,0.665956238824575,-0.2485932315725621,0.0194720126810895,targeted_down3_made_time_band,final_surface,30-45s,False,3PA,126
291,0.34147253556745116,0.3402061855670103,0.0012663500004408412,0.2226190031251224,0.63766628215053,0.06043704771503223,0.12650251746822372,-0.1890239154214152,0.7181798458101374,targeted_down3_made_time_band,baseline_m0,45-60s,True,2PA,289
121,0.47812671387565253,0.4132231404958678,0.06490357337978475,0.24865620870321936,0.6903403942787909,0.1234361513953788,0.39410526284263103,-0.3487448003400072,0.02183753589230295,targeted_down3_made_time_band,baseline_m0,45-60s,True,3PA,121
291,0.3477374851325057,0.3402061855670103,0.007531299565495364,0.22455856945791056,0.6417325622809898,0.058323444907546734,0.07846571116851897,-0.36029414071071214,0.47645366961691593,targeted_down3_made_time_band,final_surface,45-60s,True,2PA,289
121,0.4735309319830187,0.4132231404958678,0.06030779148715093,0.24966075232030077,0.692390546443497,0.11781266399796164,0.397563558957494,-0.36414767216724026,-0.1261056900622255,targeted_down3_made_time_band,final_surface,45-60s,True,3PA,121
