bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,31723,-0.03086557825361142,-0.04386582225561142,-0.021835342049598694,-0.0074099815,0.922234,0.005177904106290612,-0.017558673500258214,0.0027387105964009843
1,31723,-0.01677793697882808,-0.019822034612298013,-0.014057490415871144,0.000961152,0.85928905,0.00482449823680606,-0.008494864522366717,0.010417168565913036
2,31723,-0.011068726875550494,-0.012963322550058365,-0.009295832365751266,0.0021698393,0.8183128,0.004594436266790752,-0.006835255743579082,0.011174934422240667
3,31723,-0.007053654461990921,-0.008504177816212178,-0.005643107369542122,0.0058769197,0.80589706,0.004524727657536593,-0.0029915464884498286,0.014745385929093616
4,31723,-0.003642889277777782,-0.0049541667103767395,-0.002331406623125076,-0.010299032,0.7766102,0.004360295897043418,-0.018845211580912943,-0.0017528516645027442
5,31724,-0.0003266316622004587,-0.0016799735836684703,0.0010374244302511215,-0.002928077,0.75507885,0.004239340853857706,-0.01123718508399895,0.005381031063123258
6,31722,0.003196144026281394,0.001716446503996849,0.0047342823818326,-0.0038548107,0.7606545,0.004270779640083542,-0.012225538820461294,0.0045159173686661926
7,31723,0.007461586077138746,0.005565854534506798,0.009486743807792663,-0.0022652624,0.75615263,0.004245436421009479,-0.01058631780267383,0.006055792967683328
8,31723,0.013743042460780239,0.010706667602062226,0.017199812829494475,-0.00035141906,0.77514845,0.004352088899830962,-0.008881513304858204,0.008178675182479169
9,31723,0.030784452949447927,0.019590656459331512,0.04697494804859161,0.0013377656,0.81893253,0.0045979156400584855,-0.00767414905491366,0.010349680254115602
