time_left_game,score_diff,tau_catboost,tau_xgb,tau_lgbm,tau_mean_ensemble,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree
30.0,-10.0,-0.0016919415211305022,-0.0012556166620925069,-0.0014401745283976197,-0.0014625775705402095,0.0001788318910346877,0.0,0
30.0,-9.0,-0.0016919415211305022,-0.0012579172616824508,-0.0014401745283976197,-0.001463344437070191,0.0001779454934303926,0.0,0
30.0,-8.0,-0.0016919415211305022,-0.001285219332203269,-0.0014401745283976197,-0.001472445127243797,0.00016760425293700667,0.0,0
30.0,-7.0,-0.0016919415211305022,-0.001205734210088849,-0.0014401745283976197,-0.0014459500865389903,0.00019853531194134706,0.0,0
30.0,-6.0,-0.0018178509781137109,-0.0013058333424851298,-0.0012705500703305006,-0.001464744796976447,0.00025009892534953845,0.0,0
30.0,-5.0,-0.0022186527494341135,-0.0012814344372600317,-0.0011718395398929715,-0.0015573089088623722,0.00046977619989299846,0.0,0
30.0,-4.0,-0.0022186527494341135,-0.001235969946719706,-0.0011134837986901402,-0.0015227021649479866,0.0004946454124924348,0.0,0
30.0,-3.0,-0.002275149803608656,-0.0013843600172549486,-0.0011352613801136613,-0.0015982570669924219,0.0004893195039503143,0.0,0
30.0,-2.0,-0.002112909220159054,-0.0011927108280360699,-0.001186917768791318,-0.0014975126056621473,0.00043515754597964787,0.0,0
30.0,-1.0,-0.0017768838442862034,-0.0011398737551644444,-0.0014719127211719751,-0.0014628901068742077,0.00026013652708696707,0.0,0
30.0,0.0,-0.0016328099882230163,-0.00099662144202739,-0.0017157444963231683,-0.001448391975524525,0.0003212392611545356,0.0,0
30.0,1.0,-0.0015390516491606832,-0.001147235743701458,-0.0016779211582615972,-0.0014547361837079127,0.00022470510392156898,0.0,0
30.0,2.0,-0.0015382602578029037,-0.0009737079381011426,-0.0017113658832386136,-0.0014077780263808866,0.0003149645700114651,0.0,0
30.0,3.0,-0.0018204862717539072,-0.001057131914421916,-0.0017298569437116385,-0.0015358250432958205,0.0003405033063947786,0.0,0
30.0,4.0,-0.0015129547100514174,-0.0009695601183921099,-0.0018062047893181443,-0.0014295732059205573,0.00034661018716571366,0.0,0
30.0,5.0,-0.0014013544423505664,-0.0010432389099150896,-0.0018421343993395567,-0.001428909250535071,0.00032672919606941905,0.0,0
30.0,6.0,-0.0012938096188008785,-0.0010433443821966648,-0.001809248817153275,-0.0013821342727169394,0.0003188555934782965,0.0,0
30.0,7.0,-0.0012938096188008785,-0.0010242811404168606,-0.001809248817153275,-0.001375779858790338,0.0003256612796175276,0.0,0
30.0,8.0,-0.0012938096188008785,-0.0010452191345393658,-0.001809248817153275,-0.0013827591901645064,0.0003181921418085908,0.0,0
30.0,9.0,-0.0012938096188008785,-0.001039759605191648,-0.001809248817153275,-0.0013809393470486004,0.0003201271663883202,0.0,0
30.0,10.0,-0.0012938096188008785,-0.0010304588358849287,-0.001809248817153275,-0.0013778390906130273,0.0003234441454416917,0.0,0
41.25,-10.0,-0.0016896575689315796,-0.001257438911125064,-0.0012568974634632468,-0.0014013313145066302,0.00020387756952712765,0.0,0
41.25,-9.0,-0.0016896575689315796,-0.0012580184265971184,-0.0012568974634632468,-0.0014015244863306482,0.00020374137054351236,0.0,0
41.25,-8.0,-0.0016896575689315796,-0.001273134141229093,-0.0012568974634632468,-0.0014065630578746398,0.00020028776642478494,0.0,0
41.25,-7.0,-0.0016896575689315796,-0.0012506510829553008,-0.0012568974634632468,-0.001399068705116709,0.0002054931793633316,0.0,0
41.25,-6.0,-0.0019064332591369748,-0.001337503781542182,-0.0011627196799963713,-0.0014688855735585093,0.0003175146751512417,0.0,0
41.25,-5.0,-0.0020042837131768465,-0.0012921260204166174,-0.0011844276450574398,-0.0014936124595503013,0.0003637660255110255,0.0,0
41.25,-4.0,-0.0020042837131768465,-0.0012588954996317625,-0.0011135051026940346,-0.0014588947718342145,0.0003901891975991093,0.0,0
41.25,-3.0,-0.0020607798360288143,-0.0014072851045057178,-0.0010445909574627876,-0.0015042186326657732,0.0004204815024797856,0.0,0
41.25,-2.0,-0.0017902839463204145,-0.0011783646186813712,-0.0011345577659085393,-0.001367735443636775,0.0002993216641314206,0.0,0
