bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,31723,-0.03310174910138554,-0.0497719869017601,-0.02193344756960869,-0.0012744704,0.952903,0.0053500957693837885,-0.011760658064285247,0.009211717351699202
1,31723,-0.01623901014936953,-0.019496624916791917,-0.013407156616449357,-0.01015212,0.8282936,0.004650473686592813,-0.019267048568897036,-0.001037191717453213
2,31724,-0.010392998533756482,-0.012276909314095974,-0.008628615085035563,0.006739549,0.78342336,0.004398479263439142,-0.0018814704831844088,0.015360568229497027
3,31723,-0.006463079970020332,-0.007853779010474682,-0.005067959055304529,-0.0025655422,0.7696998,0.0043214973879983805,-0.011035677116447323,0.005904592644506329
4,31724,-0.0032186786482484215,-0.004458101093769073,-0.0019927937537431717,0.0036250537,0.7365367,0.004135237049602665,-0.004480010937650667,0.011730118296791778
5,31721,-3.903834865900679e-05,-0.0013465918600559235,0.0013078786432743073,-0.0021060468,0.7479945,0.00419976470491999,-0.01033758559141118,0.006125492051875181
6,31724,0.003622252101736315,0.0020485658198595045,0.005234535411000252,-0.00034378804,0.7555944,0.004242235210411848,-0.008658569049250983,0.00797099297556346
7,31723,0.008091719827745045,0.006128683686256409,0.010203516483306885,-0.004798171,0.76235795,0.004280276335615349,-0.013187512728257305,0.0035911705073548624
8,31722,0.014430030492150775,0.01137509848922491,0.017870123870670794,-0.0038658855,0.7920719,0.004447175969650999,-0.012582350448809548,0.0048505793522223666
9,31723,0.030950379812881467,0.020309820771217346,0.04655048549175262,-0.0010514418,0.8771652,0.004924864284269038,-0.010704175763488973,0.008601292230845655
