bucket,n,tau_mean,tau_p10,tau_p90,psi_mean,psi_std,psi_se,psi_ci_low,psi_ci_high
0,31723,-0.21205436566252314,-0.3020663022994995,-0.1507405310869217,-0.008607614,0.89631593,0.005032386522744541,-0.01847109143868954,0.0012558637304690597
1,31723,-0.11511603721300906,-0.13641853034496307,-0.09610459208488464,0.004164244,0.8097838,0.004546549957374591,-0.004746993868156793,0.013075481964751603
2,31723,-0.07427718479887248,-0.08826637715101242,-0.061053667962551114,-0.012639304,0.81653935,0.004584479041417264,-0.021624882612863036,-0.0036537247705073616
3,31723,-0.04355525098187011,-0.054944241791963576,-0.03238654658198357,-0.004020805,0.79100037,0.004441089842403538,-0.012725341096095074,0.004683731086126793
4,31723,-0.016682157975519973,-0.02700831592082977,-0.006494350358843806,-0.0017143184,0.7833001,0.0043978565296128045,-0.010334117206671885,0.006905480389410308
5,31723,0.008760230196094433,-0.001406315341591835,0.018913647532463072,0.0056930073,0.77596503,0.00435667362751856,-0.0028460730493753885,0.014232087570497367
6,31723,0.03511803871115736,0.02413947433233261,0.04649724066257477,-0.00024853522,0.79717296,0.004475746033250248,-0.009020997441257962,0.008523927009083011
7,31723,0.0655888461160875,0.0523788645863533,0.07932239621877671,0.0089523345,0.7962507,0.004470567968176511,0.00019002130557502737,0.01771464774082695
8,31723,0.10616404343544036,0.08733928203582764,0.12717451751232148,0.0038167539,0.81940234,0.004600553364411307,-0.005200330735545766,0.012833838452946555
9,31723,0.2052266304619138,0.14090266823768616,0.29956682324409484,-0.00748325,0.8784494,0.004932074354198184,-0.017150115730085916,0.002183615738370963
