subset,n_cells,n_supported_cells,sign_flip_share,mean_abs_difference,median_abs_difference,p90_abs_difference,p95_abs_difference,max_abs_difference,mean_tau_wp,mean_tau_sensitivity,share_tau_wp_positive,share_tau_sensitivity_positive,score_diff
score_-10,25,25,0.0,0.0015217832212025438,0.0015311419265343997,0.00156951640577362,0.0015975509537383401,0.0016042334803690003,0.003224417671250744,0.004746200892453287,1.0,1.0,-10.0
score_-9,25,25,0.0,0.0015219993532324281,0.0015313350983584,0.0015697096086417,0.00159774412556234,0.0016044267298031998,0.002114022242506768,0.003636021595739196,1.0,1.0,-9.0
score_-8,25,25,0.36,0.0015230829051384798,0.0015325879212468,0.00156950617674736,0.00159874745489404,0.0016056794362763,0.00021493227251918583,0.0017380151776576658,0.64,1.0,-8.0
score_-7,25,25,0.0,0.001520082618420268,0.0015308543806894998,0.0015686084516346199,0.0015964861493557398,0.0016035206305483,0.005152191392456444,0.006672274010876711,1.0,1.0,-7.0
score_-6,25,25,0.0,0.001487021933620124,0.0014923658066739003,0.00154052462118362,0.0015584871793786197,0.0015624713075035996,0.00424365771934384,0.005730679652963964,1.0,1.0,-6.0
score_-5,25,25,0.0,0.0014855069178156038,0.0014936124595503007,0.0015550100011750602,0.0015691594919189397,0.0015732550915950995,0.0040650756812343515,0.0055505825990499556,1.0,1.0,-5.0
score_-4,25,25,0.0,0.0014633381390012357,0.0014680603829521997,0.00152258579619222,0.0015396366827189402,0.0015487602989499001,0.004040253836040652,0.005503591975041887,1.0,1.0,-4.0
score_-3,25,25,0.0,0.0015100803598760999,0.0015180432625735,0.0015733385769029,0.0015807479309538199,0.001598257066992399,0.004085031731519812,0.005595112091395912,1.0,1.0,-3.0
score_-2,25,25,0.0,0.0014956295629962799,0.0015135717500622003,0.00155760793325798,0.0015605119056999398,0.0015723471296951001,0.003986387894255996,0.005482017457252275,1.0,1.0,-2.0
score_-1,25,25,0.0,0.0014989940294374562,0.0015088121096293,0.0015678763079146202,0.0015719655125090997,0.0015786370495333999,0.003690527715370944,0.005189521744808401,1.0,1.0,-1.0
score_0,25,25,0.08,0.001469645143176076,0.0014613912596055999,0.0015299864889432601,0.0015348297388603,0.0015508642730613,0.001597020101423028,0.0030666652445991037,0.92,1.0,0.0
score_1,25,25,0.44,0.0014979551235834282,0.0014870798913761,0.0015569027358044599,0.0015652927725265,0.0016029641265049,0.0005718485687490647,0.0020698036923324924,0.56,1.0,1.0
score_2,25,25,0.44,0.001447568722845316,0.0014278260835756,0.00150958104059096,0.0015552813652901997,0.0016189491531501,-0.0006396132956918402,0.000807955427153476,0.32,0.76,2.0
score_3,25,25,0.44,0.001512253347318576,0.0015052326489239,0.0015653057644764,0.0016088433408488398,0.0016670238692313,-0.0021187757706987,-0.000606522423380124,0.0,0.44,3.0
score_4,25,25,0.2,0.0014704593480564078,0.0014583030715584003,0.0015317711203048198,0.00157410645236566,0.0016268054799487002,0.0007135802519405517,0.0021840395999969597,0.8,1.0,4.0
score_5,25,25,0.28,0.0014831446638951201,0.0014679362454141,0.0015487694724772801,0.00159002212652308,0.0016477368383978,0.000284234505209776,0.0017673791691048962,0.72,1.0,5.0
score_6,25,25,0.52,0.0014472148916683562,0.0014253846990565,0.00152644278326378,0.0015712980879470598,0.0016289559425786,-0.00021875638781542793,0.0012284585038529281,0.48,1.0,6.0
score_7,25,25,0.72,0.0014476681686937279,0.0014198737917467,0.00152768202436464,0.00157125966312976,0.0016286187261963,-0.000933500250757728,0.0005141679179359999,0.0,0.72,7.0
score_8,25,25,0.72,0.0014630814478732198,0.0014418568268107,0.00154778230159228,0.0015770151978357998,0.0016029334704702,-0.001131745400877304,0.00033133604699591606,0.0,0.72,8.0
score_9,25,25,0.72,0.0014579816325567161,0.0014351490147722,0.00154107441194348,0.0015703073392311598,0.0015849618939682,-0.001131745400877304,0.000326236231679412,0.0,0.72,9.0
score_10,25,25,0.72,0.001454851636663028,0.0014323417368965,0.0015383728857462,0.00156643035976828,0.0015807735035195,-0.001239586706215008,0.00021526493044802,0.0,0.72,10.0
