time_left_game,score_diff,tau_wp,b_hat,cell_count,cell_density,tau_sensitivity,abs_difference,supported,tau_wp_sign,tau_sensitivity_sign,sign_flip,time_band
300.0,3.0,-0.0009723031592632,-0.0016670238692313,276,49.06666666666667,0.0006947207099681,0.0016670238692313,True,negative,positive,True,240_300
300.0,5.0,0.0006472943156647,-0.0016477368383978,252,44.8,0.0022950311540625,0.0016477368383978,True,positive,positive,False,240_300
300.0,6.0,0.0001333717373199,-0.0016289559425786,256,45.51111111111111,0.0017623276798985,0.0016289559425786,True,positive,positive,False,240_300
300.0,7.0,-0.0006033539345177,-0.0016286187261963,252,44.8,0.0010252647916786,0.0016286187261963,True,negative,positive,True,240_300
300.0,4.0,0.0011086112936027,-0.0016268054799487,286,50.84444444444444,0.0027354167735514,0.0016268054799487002,True,positive,positive,False,240_300
288.75,3.0,-0.0008745588371918,-0.0016193401922161,524,46.577777777777776,0.0007447813550242999,0.0016193401922161,True,negative,positive,True,240_300
300.0,2.0,0.0006775544443371,-0.0016189491531501,286,50.84444444444444,0.0022965035974872,0.0016189491531501,True,positive,positive,False,240_300
108.75,-8.0,-0.0005246844569531,-0.0016056794362763,508,45.15555555555556,0.0010809949793232,0.0016056794362763,True,negative,positive,True,60_120
120.0,-8.0,-0.000580894010928,-0.0016055839369073,468,41.6,0.0010246899259793,0.0016055839369073,True,negative,positive,True,120_180
108.75,-9.0,0.0012713413452729,-0.0016044267298032,484,43.02222222222223,0.0028757680750760998,0.0016044267298031998,True,positive,positive,False,60_120
120.0,-9.0,0.0012151318369433,-0.0016043311916291,436,38.75555555555555,0.0028194630285724,0.0016043311916291,True,positive,positive,False,120_180
108.75,-10.0,0.002434871198299,-0.001604233480369,483,42.93333333333333,0.004039104678668,0.0016042334803690003,True,positive,positive,False,60_120
120.0,-10.0,0.0023786615347489,-0.0016041380198051,432,38.4,0.003982799554554,0.0016041380198051004,True,positive,positive,False,120_180
120.0,-7.0,0.004950092639774,-0.0016035206305483,484,43.02222222222223,0.0065536132703223,0.0016035206305483,True,positive,positive,False,120_180
288.75,1.0,0.0021746015409007,-0.0016029641265049,586,52.08888888888889,0.0037775656674056,0.0016029641265049,True,positive,positive,False,240_300
300.0,8.0,-0.0007448876907195,-0.0016029334704702,236,41.95555555555556,0.0008580457797507001,0.0016029334704702,True,negative,positive,True,240_300
108.75,-7.0,0.0050063016824424,-0.0016027874468515,773,68.71111111111111,0.0066090891292939,0.0016027874468514999,True,positive,positive,False,60_120
288.75,5.0,0.0007450386377361,-0.0015998462913557,477,42.4,0.0023448849290918002,0.0015998462913557002,True,positive,positive,False,240_300
30.0,-3.0,0.0073303903142611,-0.0015982570669924,462,82.13333333333334,0.008928647381253499,0.001598257066992399,True,positive,positive,False,30_60
300.0,9.0,-0.0007448876907195,-0.0015849618939682,190,33.77777777777778,0.0008400742032487,0.0015849618939682,True,negative,positive,True,240_300
288.75,4.0,0.0012063555380639,-0.0015846518799662,484,43.02222222222223,0.0027910074180301,0.0015846518799662,True,positive,positive,False,240_300
288.75,8.0,-0.0007281404347547,-0.0015840284371127,424,37.68888888888889,0.0008558880023579999,0.0015840284371127,True,negative,positive,True,240_300
288.75,6.0,0.0002311160981965,-0.0015818589211752,705,62.66666666666666,0.0018129750193716999,0.0015818589211752,True,positive,positive,False,240_300
288.75,7.0,-0.0005056095542386,-0.0015815218212082,440,39.11111111111112,0.0010759122669696001,0.0015815218212082002,True,negative,positive,True,240_300
108.75,-3.0,0.0055598448185871,-0.0015808844085161,621,55.2,0.0071407292271032,0.0015808844085160997,True,positive,positive,False,60_120
300.0,10.0,-0.0008751533702403,-0.0015807735035195,189,33.6,0.0007056201332791999,0.0015807735035195,True,negative,positive,True,240_300
120.0,-3.0,0.0050913474988192,-0.0015802020207047,611,54.31111111111111,0.0066715495195239,0.0015802020207047003,True,positive,positive,False,120_180
288.75,-1.0,0.002251871357051,-0.0015786370495334,541,48.08888888888889,0.0038305084065843997,0.0015786370495333999,True,positive,positive,False,240_300
288.75,9.0,-0.0007281404347547,-0.0015773205862691,403,35.82222222222222,0.0008491801515144,0.0015773205862691,True,negative,positive,True,240_300
120.0,-5.0,0.0043818284757435,-0.0015732550915951,534,47.46666666666667,0.0059550835673386,0.0015732550915950995,True,positive,positive,False,120_180
