time_left_game,score_diff,tau_wp,b_hat,cell_count,cell_density,tau_sensitivity,abs_difference,supported,tau_wp_sign,tau_sensitivity_sign,sign_flip,time_band
300.0,3.0,-0.0009723031592632,-0.0016670238692313,276,49.06666666666667,0.0006947207099681,0.0016670238692313,True,negative,positive,True,240_300
300.0,5.0,0.0006472943156647,-0.0016477368383978,252,44.8,0.0022950311540625,0.0016477368383978,True,positive,positive,False,240_300
300.0,6.0,0.0001333717373199,-0.0016289559425786,256,45.51111111111111,0.0017623276798985,0.0016289559425786,True,positive,positive,False,240_300
300.0,7.0,-0.0006033539345177,-0.0016286187261963,252,44.8,0.0010252647916786,0.0016286187261963,True,negative,positive,True,240_300
300.0,4.0,0.0011086112936027,-0.0016268054799487,286,50.84444444444444,0.0027354167735514,0.0016268054799487002,True,positive,positive,False,240_300
288.75,3.0,-0.0008745588371918,-0.0016193401922161,524,46.577777777777776,0.0007447813550242999,0.0016193401922161,True,negative,positive,True,240_300
300.0,2.0,0.0006775544443371,-0.0016189491531501,286,50.84444444444444,0.0022965035974872,0.0016189491531501,True,positive,positive,False,240_300
288.75,1.0,0.0021746015409007,-0.0016029641265049,586,52.08888888888889,0.0037775656674056,0.0016029641265049,True,positive,positive,False,240_300
300.0,8.0,-0.0007448876907195,-0.0016029334704702,236,41.95555555555556,0.0008580457797507001,0.0016029334704702,True,negative,positive,True,240_300
288.75,5.0,0.0007450386377361,-0.0015998462913557,477,42.4,0.0023448849290918002,0.0015998462913557002,True,positive,positive,False,240_300
300.0,9.0,-0.0007448876907195,-0.0015849618939682,190,33.77777777777778,0.0008400742032487,0.0015849618939682,True,negative,positive,True,240_300
288.75,4.0,0.0012063555380639,-0.0015846518799662,484,43.02222222222223,0.0027910074180301,0.0015846518799662,True,positive,positive,False,240_300
288.75,8.0,-0.0007281404347547,-0.0015840284371127,424,37.68888888888889,0.0008558880023579999,0.0015840284371127,True,negative,positive,True,240_300
288.75,6.0,0.0002311160981965,-0.0015818589211752,705,62.66666666666666,0.0018129750193716999,0.0015818589211752,True,positive,positive,False,240_300
288.75,7.0,-0.0005056095542386,-0.0015815218212082,440,39.11111111111112,0.0010759122669696001,0.0015815218212082002,True,negative,positive,True,240_300
300.0,10.0,-0.0008751533702403,-0.0015807735035195,189,33.6,0.0007056201332791999,0.0015807735035195,True,negative,positive,True,240_300
288.75,-1.0,0.002251871357051,-0.0015786370495334,541,48.08888888888889,0.0038305084065843997,0.0015786370495333999,True,positive,positive,False,240_300
288.75,9.0,-0.0007281404347547,-0.0015773205862691,403,35.82222222222222,0.0008491801515144,0.0015773205862691,True,negative,positive,True,240_300
288.75,10.0,-0.000858406094873,-0.0015731321182101,337,29.95555555555556,0.0007147260233371,0.0015731321182101,True,negative,positive,True,240_300
266.25,-1.0,0.0025435147496561,-0.0015704298857599,600,53.333333333333336,0.004113944635416,0.0015704298857598998,True,positive,positive,False,240_300
288.75,-9.0,0.0018151314385856,-0.0015671802296613,398,35.37777777777778,0.0033823116682469,0.0015671802296613,True,positive,positive,False,240_300
288.75,-10.0,0.0027647133295734,-0.0015669869802271,375,33.333333333333336,0.0043317003098005,0.0015669869802271003,True,positive,positive,False,240_300
266.25,3.0,-0.0007721056075145,-0.0015668559353798,514,45.68888888888889,0.0007947503278652999,0.0015668559353798,True,negative,positive,True,240_300
266.25,1.0,0.0023632452745611,-0.0015668456520264,583,51.82222222222222,0.0039300909265875,0.0015668456520264002,True,positive,positive,False,240_300
288.75,2.0,0.0007752988052137,-0.0015657366020604,508,45.15555555555556,0.0023410354072741,0.0015657366020603999,True,positive,positive,False,240_300
243.75,-1.0,0.0032079238444566,-0.0015640459411467,637,56.62222222222222,0.0047719697856033,0.0015640459411467005,True,positive,positive,False,240_300
288.75,-8.0,0.0001657072571106,-0.0015636185416951,452,40.17777777777778,0.0017293257988056998,0.0015636185416951,True,positive,positive,False,240_300
288.75,-7.0,0.0033835669358571,-0.0015625315718352,463,41.15555555555556,0.0049460985076923,0.0015625315718352,True,positive,positive,False,240_300
243.75,-2.0,0.0038592569374789,-0.001560901873745,771,68.53333333333333,0.0054201588112239,0.001560901873745,True,positive,positive,False,240_300
288.75,-2.0,0.0029032037903865,-0.0015589520335197,572,50.84444444444444,0.0044621558239062,0.0015589520335196998,True,positive,positive,False,240_300
