window,time_lo,time_hi,score_band,score_lo,score_hi,n_three_point,mean_resid_three_point,n_two_point,mean_resid_two_point,observed_resid_diff_3pa_minus_2pa,mean_b_hat_300,same_sign_as_mean_b_hat_300,abs_ratio_observed_to_mean_b_hat_300
285_300,285.0,300.0,trailing_-7_-1,-7.0,-1.0,1569,0.0175293083724977,3496,0.014368286107796372,0.003161022264701328,0.03487403451332018,True,0.09064114057391241
285_300,285.0,300.0,tied_0,0.0,0.0,321,0.0008584085537502448,979,0.02127952471001783,-0.020421116156267585,0.0110215172171592,False,1.8528407436023708
285_300,285.0,300.0,leading_1_7,1.0,7.0,1453,-0.01011305616456371,3659,0.012747804117307577,-0.022860860281871287,-0.017347011715173673,True,1.3178558161619602
285_300,285.0,300.0,all_-7_7,-7.0,7.0,3343,0.003914078185788704,8134,0.014471157879172851,-0.010557079693384146,0.008914045120278989,False,1.1843197505661418
295_300,295.0,300.0,trailing_-7_-1,-7.0,-1.0,606,0.028584203044644128,1273,0.01165342407022943,0.016930778974414695,0.03487403451332018,True,0.4854838050913771
295_300,295.0,300.0,tied_0,0.0,0.0,87,0.032168992940557826,209,0.03605567323486552,-0.003886680294307693,0.0110215172171592,False,0.35264476003871686
295_300,295.0,300.0,leading_1_7,1.0,7.0,537,-0.03177809499428688,1414,0.014487404153488617,-0.0462654991477755,-0.017347011715173673,True,2.667058736537684
295_300,295.0,300.0,all_-7_7,-7.0,7.0,1230,0.002484465381260824,2896,0.014798216167307277,-0.012313750786046452,0.008914045120278989,False,1.3813875316867434
exact_300,300.0,300.0,trailing_-7_-1,-7.0,-1.0,99,0.08683064631420044,224,0.025936736680966577,0.060893909633233864,0.03487403451332018,True,1.7461102646433224
exact_300,300.0,300.0,tied_0,0.0,0.0,19,0.000303623343753679,34,0.019401998107330294,-0.019098374763576616,0.0110215172171592,False,1.7328262876405713
exact_300,300.0,300.0,leading_1_7,1.0,7.0,90,-0.023472578386713096,251,0.010348379194181283,-0.03382095758089438,-0.017347011715173673,True,1.9496705332429514
exact_300,300.0,300.0,all_-7_7,-7.0,7.0,208,0.031199378720350873,509,0.017813241905550583,0.01338613681480029,0.008914045120278989,True,1.50169049339312
270_285,270.0,285.0,trailing_-7_-1,-7.0,-1.0,1550,0.003876937999774047,3728,0.013696152611366504,-0.009819214611592457,0.03487403451332018,False,0.2815623356638589
270_285,270.0,285.0,tied_0,0.0,0.0,607,-0.002912632380180668,1928,-0.008339110353502389,0.005426477973321721,0.0110215172171592,True,0.4923530822846546
270_285,270.0,285.0,leading_1_7,1.0,7.0,1402,0.011958398867635622,3437,0.009732925951121985,0.0022254729165136367,-0.017347011715173673,False,0.12829142869414129
270_285,270.0,285.0,all_-7_7,-7.0,7.0,3559,0.005902489816607264,9093,0.007525956083539864,-0.0016234662669325998,0.008914045120278989,False,0.18212452876632837
240_285,240.0,285.0,trailing_-7_-1,-7.0,-1.0,4722,-0.0029599144115970925,11393,0.013890758267099193,-0.016850672678696284,0.03487403451332018,False,0.4831867867843093
240_285,240.0,285.0,tied_0,0.0,0.0,1436,0.001217300444015185,4137,-0.003037841946381375,0.0042551423903965605,0.0110215172171592,True,0.3860759191821437
240_285,240.0,285.0,leading_1_7,1.0,7.0,4146,0.010059478614431499,10408,0.014082693119902429,-0.00402321450547093,-0.017347011715173673,True,0.2319255080661396
240_285,240.0,285.0,all_-7_7,-7.0,7.0,10304,0.0028608235560439966,25938,0.01126773563099799,-0.008406912074953993,0.008914045120278989,False,0.9431085395595212
