window,time_lo,time_hi,score_diff,n_three_point,mean_resid_three_point,n_two_point,mean_resid_two_point,observed_resid_diff_3pa_minus_2pa,b_hat,same_sign_as_b_hat_300,abs_ratio_observed_to_b_hat_300
285_300,285.0,300.0,-7.0,201,0.009774295634490842,473,0.017054723736042818,-0.007280428101551975,0.0459457077085971,False,0.15845719795474394
285_300,285.0,300.0,-6.0,199,0.0043266643199011525,413,0.03307180763943994,-0.02874514331953879,0.0390860736370086,False,0.7354318468131188
285_300,285.0,300.0,-5.0,233,0.03706492338341474,494,0.010597873013831534,0.026467050369583203,0.045348010957241,True,0.5836430266928178
285_300,285.0,300.0,-4.0,224,0.06710633854591892,531,0.006085077351127885,0.06102126119479104,0.0407808236777782,True,1.4963224302907352
285_300,285.0,300.0,-3.0,233,-0.0004166831336513603,478,0.004955480697306298,-0.005372163830957658,0.0293028131127357,False,0.1833326995019051
285_300,285.0,300.0,-2.0,226,0.028390134510638716,563,0.03650242808829168,-0.008112293577652967,0.0221689362078905,False,0.365930665395013
285_300,285.0,300.0,-1.0,253,-0.020984920939245675,544,-0.005294347019638131,-0.015690573919607542,0.0214858762919902,False,0.7302738648577666
285_300,285.0,300.0,0.0,321,0.0008584085537502448,979,0.02127952471001783,-0.020421116156267585,0.0110215172171592,False,1.8528407436023708
285_300,285.0,300.0,1.0,253,-0.015290008332549216,614,-0.0032904490671425337,-0.011999559265406683,-0.0141985481604933,True,0.8451257924239617
285_300,285.0,300.0,2.0,189,-0.0507118994888511,561,0.005467135070688865,-0.056179034559539966,-0.0242698602378368,True,2.3147654749142994
285_300,285.0,300.0,3.0,244,-0.015173878104059537,517,0.05549275198202586,-0.0706666300860854,-0.0233750734478235,True,3.023161841344516
285_300,285.0,300.0,4.0,196,0.03827638652576665,542,-0.011486531641914792,0.04976291816768144,-0.016815872862935,False,2.959282492993108
285_300,285.0,300.0,5.0,199,-0.025357728288226817,483,-0.004905456390827685,-0.02045227189739913,-0.020019419491291,True,1.0216216262562674
285_300,285.0,300.0,6.0,195,0.017772567867202608,460,0.03858970009181698,-0.020817132224614374,-0.0120790787041187,True,1.7234039726486914
285_300,285.0,300.0,7.0,177,-0.019551174022544495,482,0.01608196885382133,-0.03563314287636583,-0.0106712291017174,True,3.339178883398832
295_300,295.0,300.0,-7.0,79,0.06177800585671294,183,-0.0230524303738953,0.08483043623060824,0.0459457077085971,True,1.8463190679014232
295_300,295.0,300.0,-6.0,72,0.07762650500772264,140,0.056618845696961,0.021007659310761644,0.0390860736370086,True,0.5374717221755058
295_300,295.0,300.0,-5.0,90,0.05273212193684894,179,0.05027524907837886,0.0024568728584700786,0.045348010957241,True,0.05417818348828317
295_300,295.0,300.0,-4.0,88,0.09824379709979338,197,-0.011053088366269767,0.10929688546606314,0.0407808236777782,True,2.680104902481896
295_300,295.0,300.0,-3.0,100,-0.023377416096854845,179,-0.04010737062404834,0.016729954527193492,0.0293028131127357,True,0.5709333934195641
295_300,295.0,300.0,-2.0,72,0.03768742063679556,196,0.0072040339710253655,0.030483386665770194,0.0221689362078905,True,1.3750495910092593
295_300,295.0,300.0,-1.0,105,-0.0658537292708955,199,0.05061398346110237,-0.11646771273199788,0.0214858762919902,False,5.420663842108051
295_300,295.0,300.0,0.0,87,0.032168992940557826,209,0.03605567323486552,-0.003886680294307693,0.0110215172171592,False,0.35264476003871686
295_300,295.0,300.0,1.0,101,0.017728017367141632,242,-0.014018079374560611,0.03174609674170224,-0.0141985481604933,False,2.2358692158423676
295_300,295.0,300.0,2.0,66,-0.1306709984641086,220,0.015859078839126843,-0.14653007730323545,-0.0242698602378368,True,6.037532802714477
295_300,295.0,300.0,3.0,76,-0.03600233585380122,200,0.005273100695675428,-0.04127543654947665,-0.0233750734478235,True,1.7657885286054529
295_300,295.0,300.0,4.0,72,-0.016216759290405097,214,0.03953074544988731,-0.0557475047402924,-0.016815872862935,True,3.3151716354355436
295_300,295.0,300.0,5.0,79,-0.022084352129342323,173,0.014747780775347576,-0.036832132904689896,-0.020019419491291,True,1.83982022659113
295_300,295.0,300.0,6.0,80,-0.03268160811454816,176,0.019770955828692892,-0.05245256394324105,-0.0120790787041187,True,4.342430844941501
