variant,time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
none,0-15s,2PA,413,390,0.3805864911556311,0.1501210653753026,0.2304654257803284
none,0-15s,3PA,562,534,0.47721476817401,0.4288256227758007,0.0483891453982092
none,15-30s,2PA,382,374,0.3633750171076833,0.1596858638743455,0.2036891532333377
none,15-30s,3PA,177,176,0.4676121180258366,0.3898305084745763,0.0777816095512602
none,30-45s,2PA,321,321,0.337703574394919,0.2211838006230529,0.116519773771866
none,30-45s,3PA,142,140,0.4707911826306916,0.4154929577464789,0.0552982248842127
main,0-15s,2PA,413,390,0.3805850510852542,0.1501210653753026,0.2304639857099515
main,0-15s,3PA,562,534,0.4772038263895425,0.4288256227758007,0.0483782036137417
main,15-30s,2PA,382,374,0.3633949244945115,0.1596858638743455,0.2037090606201659
main,15-30s,3PA,177,176,0.4676004363066791,0.3898305084745763,0.0777699278321028
main,30-45s,2PA,321,321,0.3377023598014619,0.2211838006230529,0.1165185591784089
main,30-45s,3PA,142,140,0.4707950969356448,0.4154929577464789,0.0553021391891659
band,0-15s,2PA,413,390,0.3809110871391108,0.1501210653753026,0.2307900217638082
band,0-15s,3PA,562,534,0.4770611118362212,0.4288256227758007,0.0482354890604204
band,15-30s,2PA,382,374,0.3632696553063115,0.1596858638743455,0.2035837914319659
band,15-30s,3PA,177,176,0.4676209159181237,0.3898305084745763,0.0777904074435474
band,30-45s,2PA,321,321,0.3379351518514489,0.2211838006230529,0.1167513512283959
band,30-45s,3PA,142,140,0.4709593271779215,0.4154929577464789,0.0554663694314426
score_band,0-15s,2PA,413,390,0.3726038359441863,0.1501210653753026,0.2224827705688836
score_band,0-15s,3PA,562,534,0.4746106429517258,0.4288256227758007,0.045785020175925
score_band,15-30s,2PA,382,374,0.3512713390030614,0.1596858638743455,0.1915854751287159
score_band,15-30s,3PA,177,176,0.4645399094411584,0.3898305084745763,0.0747094009665821
score_band,30-45s,2PA,321,321,0.3282394729919263,0.2211838006230529,0.1070556723688733
score_band,30-45s,3PA,142,140,0.4682174432923228,0.4154929577464789,0.0527244855458439
surface,0-15s,2PA,413,390,0.3507059786442136,0.1501210653753026,0.2005849132689109
surface,0-15s,3PA,562,534,0.4739346023299191,0.4288256227758007,0.0451089795541183
surface,15-30s,2PA,382,374,0.3415389204514565,0.1596858638743455,0.181853056577111
surface,15-30s,3PA,177,176,0.4619659417921425,0.3898305084745763,0.0721354333175662
surface,30-45s,2PA,321,321,0.3247227806876499,0.2211838006230529,0.1035389800645969
surface,30-45s,3PA,142,140,0.4653396930988613,0.4154929577464789,0.0498467353523824
